movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,"$184,925,485.00","$5,228,953,251.00"
Pinocchio,9-Feb-40,Adventure,G,"$84,300,000.00","$2,188,229,052.00"
Fantasia,13-Nov-40,Musical,G,"$83,320,000.00","$2,187,090,808.00"
Song of the South,12-Nov-46,Adventure,G,"$65,000,000.00","$1,078,510,579.00"
Cinderella,15-Feb-50,Drama,G,"$85,000,000.00","$920,608,730.00"
"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,"$28,200,000.00","$528,279,994.00"
Lady and the Tramp,22-Jun-55,Drama,G,"$93,600,000.00","$1,236,035,515.00"
Sleeping Beauty,29-Jan-59,Drama,,"$9,464,608.00","$21,505,832.00"
101 Dalmatians,25-Jan-61,Comedy,G,"$153,000,000.00","$1,362,870,985.00"
The Absent Minded Professor,16-Mar-61,Comedy,,"$25,381,407.00","$310,094,574.00"
Babes in Toyland,14-Dec-61,Musical,G,"$10,218,316.00","$124,841,160.00"
Bon Voyage!,17-May-62,Comedy,Not Rated,"$9,230,769.00","$109,581,646.00"
The Sword in the Stone,25-Dec-63,Adventure,,"$22,182,353.00","$153,870,834.00"
The Jungle Book,18-Oct-67,Musical,Not Rated,"$141,843,000.00","$789,612,346.00"
Blackbeard's Ghost,8-Feb-68,Comedy,,"$21,540,050.00","$138,612,686.00"
The Aristocats,24-Apr-70,Musical,G,"$55,675,257.00","$255,161,499.00"
The Boatniks,1-Jul-70,Comedy,,"$18,607,492.00","$101,200,742.00"
Bedknobs and Broomsticks,7-Oct-71,Musical,,"$17,871,174.00","$91,305,448.00"
The Apple Dumpling Gang,1-Jul-75,Comedy,,"$31,916,500.00","$131,246,872.00"
Freaky Friday,21-Jan-77,Comedy,,"$25,942,000.00","$98,067,733.00"
The Many Adventures of Winnie the Pooh,11-Mar-77,,,$0.00,$0.00
The Rescuers,22-Jun-77,Adventure,,"$48,775,599.00","$159,743,914.00"
Herbie Goes to Monte Carlo,24-Jun-77,,,"$28,000,000.00","$105,847,527.00"
The Black Hole,21-Dec-79,,,"$35,841,901.00","$120,377,374.00"
Midnight Madness,8-Feb-80,,,"$2,900,000.00","$9,088,096.00"
The Last Flight of Noah’s Ark,25-Jun-80,,,"$11,000,000.00","$34,472,116.00"
The Devil and Max Devlin,1-Jan-81,,,"$16,000,000.00","$48,517,980.00"
Amy,20-Mar-81,Drama,,$0.00,$0.00
The Fox and the Hound,10-Jul-81,Comedy,,"$43,899,231.00","$133,118,889.00"
Condorman,7-Aug-81,Action,,$0.00,$0.00
Night Crossing,5-Feb-82,Drama,,"$4,500,000.00","$12,903,059.00"
Tron,9-Jul-82,Action,,"$26,918,576.00","$77,184,895.00"
Tex,19-Nov-82,Drama,,"$7,199,408.00","$20,643,199.00"
